title,label,score
1633-22,exhibits,0.9293862581253052
1633-45,exhibits,0.92521071434021
1633-50,exhibits,0.9335213303565979
1633-44,exhibits,0.917259931564331
1633-46,exhibits,0.9274885654449463
1633-47,exhibits,0.9310721158981323
1633-43,exhibits,0.9269943237304688
1633-42,exhibits,0.9143143892288208
1633-40,exhibits,0.9313872456550598
1633-41,exhibits,0.9124959111213684
1633-49,exhibits,0.9276549220085144
1633-48,exhibits,0.9301822781562805
1633-13,exhibits,0.9243001341819763
1633-12,exhibits,0.9193181395530701
1633-38,exhibits,0.9329302310943604
1633-10,exhibits,0.9312102198600769
1633-11,exhibits,0.9203636050224304
1633-39,exhibits,0.9320119619369507
1633-15,exhibits,0.9240100979804993
1633-29,exhibits,0.9084526300430298
1633-28,exhibits,0.9307798743247986
1633-14,exhibits,0.9098709225654602
1633-16,exhibits,0.9296414852142334
1633-9,exhibits,0.9327932596206665
1632-38,exhibits,0.9231905937194824
1632-10,exhibits,0.9313148260116577
1632-6,exhibits,0.9260826110839844
1632-4,exhibits,0.9260342121124268
1632-12,exhibits,0.9309839010238647
1632-13,exhibits,0.9264459013938904
1632-5,exhibits,0.9256744384765625
1632-1,exhibits,0.9326285719871521
1632-17,exhibits,0.9339956045150757
1632-16,exhibits,0.9328926205635071
1632-2,exhibits,0.9323382377624512
1632-28,exhibits,0.9255340099334717
1632-14,exhibits,0.9345690011978149
1632-15,exhibits,0.9258015155792236
1632-29,exhibits,0.9300591349601746
1632-3,exhibits,0.9327803254127502
1632-30,exhibits,0.9258478283882141
1632-24,exhibits,0.9351733922958374
1632-18,exhibits,0.9268577098846436
2023-02-08 Affidavit [dckt 1597_10],court_filings,0.5939999222755432
1632-19,exhibits,0.9220106601715088
1632-25,exhibits,0.9221850037574768
1632-27,exhibits,0.9319561123847961
1632-33,exhibits,0.9310177564620972
1632-32,exhibits,0.9264964461326599
1632-26,exhibits,0.9336570501327515
1632-8,exhibits,0.9258264303207397
1632-22,exhibits,0.9300212860107422
1632-36,exhibits,0.930343508720398
1632-37,exhibits,0.9281168580055237
1632-23,exhibits,0.9235585927963257
1632-9,exhibits,0.927528977394104
1632-35,exhibits,0.9075545072555542
1632-21,exhibits,0.9261640906333923
1632-20,exhibits,0.9315943121910095
1632-34,exhibits,0.9257606863975525
1632-47,exhibits,0.9306841492652893
1632-46,exhibits,0.9335480332374573
1632-44,exhibits,0.9252331852912903
1632-50,exhibits,0.9251015186309814
1632-45,exhibits,0.9009743332862854
1632-41,exhibits,0.9236723780632019
1632-40,exhibits,0.9199349284172058
1632-42,exhibits,0.9255272746086121
1632-43,exhibits,0.9223105311393738
1629-21,court_filings,0.6782155632972717
1629-main,exhibits,0.5373914241790771
1629-4,exhibits,0.6744222044944763
1629-5,court_filings,0.6129088997840881
1629-20,exhibits,0.41183775663375854
1629-22,court_filings,0.6109369397163391
1629-7,exhibits,0.713250994682312
1629-6,court_filings,0.6581645607948303
1629-2,court_filings,0.5947282314300537
1629-3,court_filings,0.49525609612464905
1629-18,court_filings,0.5215958952903748
1629-1,exhibits,0.7857677340507507
1629-19,court_filings,0.6250141263008118
1629-14,exhibits,0.6278594732284546
1629-15,court_filings,0.5084220170974731
1629-17,court_filings,0.5492647886276245
1629-16,exhibits,0.48155704140663147
1629-12,exhibits,0.5322670340538025
1629-13,exhibits,0.47230035066604614
1629-11,court_filings,0.611651599407196
1629-8,exhibits,0.5144387483596802
1629-9,court_filings,0.6170262098312378
1629-10,court_filings,0.49175122380256653
2023-02-10 DE 1617 Declaration of B. Joy Wasson,court_filings,0.6590404510498047
2023-02-09 DE 1613 Depo Jeffrey Lenberg,exhibits,0.35862258076667786
2023-02-09 DE 1608 Depo Edward Lindsey,exhibits,0.36102551221847534
2023-02-09 DE 1614 Depo Alex Cruce,exhibits,0.35849401354789734
2023-02-10 DE 1618-4 Exhibit 4,exhibits,0.5947249531745911
2023-02-11 DE 1624-1 Exhibit 1 (Appendix),exhibits,0.5066045522689819
2023-02-10 DE 1621 Declaration Bruce Brown,exhibits,0.7018092274665833
2023-02-09 DE 1615 Depo Richard Barron REDACTED,exhibits,0.47656914591789246
2023-02-10 DE 1617-3 Wasson Exhibit 3,exhibits,0.5695511102676392
2023-02-10 DE 1618-9 Exhibit 9,court_filings,0.5827407836914062
2023-02-10 DE 1617-1 Wasson Exhibit 1,exhibits,0.6065266728401184
2023-02-10 DE 1618-3 Exhibit 3,exhibits,0.695029079914093
2023-02-09 DE 1601 Depo Juan Gilbert REDACTED,exhibits,0.4442814290523529
2023-02-10 DE 1617-4 Wasson Exhibit 4,exhibits,0.6218180656433105
2023-02-10 DE 1618-7 Exhibit 7,exhibits,0.4916369616985321
2023-02-10 DE 1618 Declaration Marilyn Marks,court_filings,0.6652431488037109
2023-02-09 DE 1603 Depo David Hamilton REDACTED,exhibits,0.5231969952583313
2023-02-09 DE 1610 Depo Emily Misty Hampton,exhibits,0.4338037967681885
2023-02-09 DE 1600 Depo Dominic Olomo,exhibits,0.6570968627929688
2023-02-10 DE 1621-1 Exhibit 1,court_filings,0.50388103723526
2023-02-10 DE 1618-8 Exhibit 8,exhibits,0.477102667093277
2023-02-10 DE 1621-2 Exhibit 2,exhibits,0.45459693670272827
2023-02-08 DE 1606 Depo James Barnes,exhibits,0.3725374937057495
2023-02-09 DE 1611 Depo Blake Edward Voyles,exhibits,0.6968774795532227
2023-02-11 DE 1623 Coalition Supp Statement of Add Facts re Resp MSJ,court_filings,0.4955739974975586
2023-02-09 DE 1607 Depo Benjamin Cotton,exhibits,0.3592287003993988
2023-02-09 DE 1605 30b6 Depo FBOE Derrick Gilstrap,exhibits,0.45036590099334717
2023-02-10 DE 1618-6 Exhibit 6,court_filings,0.5501654148101807
2023-02-10 DE 1618-1 Exhibit 1,court_filings,0.526813805103302
2023-02-09 DE 1612 Depo Doug Logan,exhibits,0.5716778039932251
2023-02-09 DE 1609 Depo Robert Sinners,exhibits,0.3597854971885681
2023-02-10 DE 1618-5 Exhibit 5,exhibits,0.6881681084632874
2023-02-11 DE 1624 Coalition Brief in Consolidated Resp to MSJ,court_filings,0.6948561668395996
2023-02-10 DE 1617-2 Wasson Exhibit 2,exhibits,0.8859472870826721
2023-02-10 DE 1618-2 Exhibit 2,court_filings,0.5264346599578857
2023-02-16-jsaf-publicdckt-1637_0,court_filings,0.6990758180618286
2023-02-10-affidavit-dckt-1617_3,exhibits,0.5695511102676392
2023-02-16-jsmf-responses-to-smf-dckt-1638_0,court_filings,0.713275671005249
2023-02-10-affidavit-dckt-1617_2,exhibits,0.8859472870826721
2023-02-09-affidavit-dckt-1598_0,court_filings,0.6567848920822144
2023-02-10-affidavit-dckt-1617_0,court_filings,0.6590404510498047
2023-02-10-affidavit-dckt-1617_1,exhibits,0.6065266728401184
